observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3,dim_id_4,dimension_label_eng_4,dimension_label_cym_4,dim_item_id_4,dimension_item_label_eng_4,dimension_item_label_cym_4,is_total_4,is_sub_total_4,dim_id_5,dimension_label_eng_5,dimension_label_cym_5,dim_item_id_5,dimension_item_label_eng_5,dimension_item_label_cym_5,is_total_5,is_sub_total_5
2431.83636311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Aug,Aug,,,
1740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Aug,Aug,,,
4415.71358922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Aug,Aug,,,
2690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Aug,Aug,,,
1987.9469659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Sep,Sep,,,
1650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Sep,Sep,,,
3854.13712791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Sep,Sep,,,
2740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Sep,Sep,,,
1524.36302704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Oct,Oct,,,
1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Oct,Oct,,,
2747.43084136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Oct,Oct,,,
2670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Oct,Oct,,,
1306.33379335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Nov,Nov,,,
1520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Nov,Nov,,,
1815.55592428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Nov,Nov,,,
2710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Nov,Nov,,,
1461.85475626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Dec,Dec,,,
1570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Dec,Dec,,,
1619.84746385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Dec,Dec,,,
2690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Dec,Dec,,,
1245.00871561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Jan,Jan,,,
1680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,,,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Jan,Jan,,,
2051.63600485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Jan,Jan,,,
2700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Jan,Jan,,,
1045.86352908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Feb,Feb,,,
1660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,,,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Feb,Feb,,,
1825.97098972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Feb,Feb,,,
2690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Feb,Feb,,,
1300.11949106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Mar,Mar,,,
1700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,,,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Mar,Mar,,,
2142.23760537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Mar,Mar,,,
2640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Mar,Mar,,,
1677.44759565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2013.0,2013.0,,,,Month,Month,,Apr,Apr,,,
