observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2
204.0,,,,,,,,,,,,,,,,,2005.0,2005.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Land and buildings, Land and buildings,,,,Source,Source,,Total,Total,,,
154.0,,,,,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Land and buildings, Land and buildings,,,,Source,Source,,Total,Total,,,
201.0,,,,,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Land and buildings, Land and buildings,,,,Source,Source,,Total,Total,,,
185.0,,,,,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Land and buildings, Land and buildings,,,,Source,Source,,Total,Total,,,
221.0,,,,,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Land and buildings, Land and buildings,,,,Source,Source,,Total,Total,,,
143.0,,,,,,,,,,,,,,,,,2010.0,2010.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Land and buildings, Land and buildings,,,,Source,Source,,Total,Total,,,
126.0,,,,,,,,,,,,,,,,,2011.0,2011.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Land and buildings, Land and buildings,,,,Source,Source,,Total,Total,,,
111.0,,,,,,,,,,,,,,,,,2012.0,2012.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Land and buildings, Land and buildings,,,,Source,Source,,Total,Total,,,
152.0,,,,,,,,,,,,,,,,,2013.0,2013.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Land and buildings, Land and buildings,,,,Source,Source,,Total,Total,,,
460.0,,,,,,,,,,,,,,,,,2014.0,2014.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Land and buildings, Land and buildings,,,,Source,Source,,Total,Total,,,
834.0,,,,,,,,,,,,,,,,,2003.0,2003.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Plant and machinery, Plant and machinery,,,,Source,Source,,Total,Total,,,
933.0,,,,,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Plant and machinery, Plant and machinery,,,,Source,Source,,Total,Total,,,
964.0,,,,,,,,,,,,,,,,,2005.0,2005.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Plant and machinery, Plant and machinery,,,,Source,Source,,Total,Total,,,
802.0,,,,,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Plant and machinery, Plant and machinery,,,,Source,Source,,Total,Total,,,
869.0,,,,,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Plant and machinery, Plant and machinery,,,,Source,Source,,Total,Total,,,
680.0,,,,,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Plant and machinery, Plant and machinery,,,,Source,Source,,Total,Total,,,
706.0,,,,,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Plant and machinery, Plant and machinery,,,,Source,Source,,Total,Total,,,
784.0,,,,,,,,,,,,,,,,,2010.0,2010.0,,Year,,,,,,,,,,,,,,,Expenditure,Expenditure,, Plant and machinery, Plant and machinery,,,,Source,Source,,Total,Total,,,
